,Article Number,Article Title,Part,Part Title
106,95,"Power of the Deputy Speaker or other person to perform the  duties of the office of, or to act as, Speaker.",PART V,THE UNION  CHAPTER  I.THE EXECUTIVE  The President and Vice-President
107,96,The Speaker or the Deputy Speaker not to preside while a  resolution for his removal from office is under consideration.,PART V,THE UNION  CHAPTER  I.THE EXECUTIVE  The President and Vice-President
108,97,Salaries and allowances of the Chairman and Deputy Chairman  and the Speaker and Deputy Speaker.,PART V,THE UNION  CHAPTER  I.THE EXECUTIVE  The President and Vice-President
109,98,Secretariat of Parliament.     Conduct of Business,PART V,THE UNION  CHAPTER  I.THE EXECUTIVE  The President and Vice-President
110,99,Oath or affirmation by members.,PART V,THE UNION  CHAPTER  I.THE EXECUTIVE  The President and Vice-President
111,100,"Voting in Houses, power of Houses to act notwithstanding  vacancies and quorum.     Disqualifications of Members",PART V,THE UNION  CHAPTER  I.THE EXECUTIVE  The President and Vice-President
112,101,Vacation of seats.,PART V,THE UNION  CHAPTER  I.THE EXECUTIVE  The President and Vice-President
113,102,Disqualifications for membership.,PART V,THE UNION  CHAPTER  I.THE EXECUTIVE  The President and Vice-President
114,103,Decision on questions as to disqualifications of members.,PART V,THE UNION  CHAPTER  I.THE EXECUTIVE  The President and Vice-President
115,104,Penalty for sitting and voting before making oath or affirmation  under article,PART V,THE UNION  CHAPTER  I.THE EXECUTIVE  The President and Vice-President
116,105,"Powers, privileges, etc., of the Houses of Parliament and of the  members and committees thereof.",PART V,THE UNION  CHAPTER  I.THE EXECUTIVE  The President and Vice-President
117,106,Salaries and allowances of members.   Legislative Procedure,PART V,THE UNION  CHAPTER  I.THE EXECUTIVE  The President and Vice-President
118,107,Provisions as to introduction and passing of Bills.,PART V,THE UNION  CHAPTER  I.THE EXECUTIVE  The President and Vice-President
119,108,Joint sitting of both Houses in certain cases.,PART V,THE UNION  CHAPTER  I.THE EXECUTIVE  The President and Vice-President
120,109,Special procedure in respect of Money Bills.,PART V,THE UNION  CHAPTER  I.THE EXECUTIVE  The President and Vice-President
121,110,Definition of “Money Bills”.,PART V,THE UNION  CHAPTER  I.THE EXECUTIVE  The President and Vice-President
122,111,Assent to Bills.   Procedure in Financial Matters,PART V,THE UNION  CHAPTER  I.THE EXECUTIVE  The President and Vice-President
123,112,Annual financial statement.,PART V,THE UNION  CHAPTER  I.THE EXECUTIVE  The President and Vice-President
124,113,Procedure in Parliament with respect to estimates.,PART V,THE UNION  CHAPTER  I.THE EXECUTIVE  The President and Vice-President
125,114,Appropriation Bills.,PART V,THE UNION  CHAPTER  I.THE EXECUTIVE  The President and Vice-President
126,115,"Supplementary, additional or excess grants.",PART V,THE UNION  CHAPTER  I.THE EXECUTIVE  The President and Vice-President
127,116,"Votes on account, votes of credit and exceptional grants.",PART V,THE UNION  CHAPTER  I.THE EXECUTIVE  The President and Vice-President
128,117,Special provisions as  to financial Bills.    Procedure Generally,PART V,THE UNION  CHAPTER  I.THE EXECUTIVE  The President and Vice-President
