,Article Number,Article Title,Part,Part Title
464,371D,Special provisions with respect to the State of Andhra Pradesh or  the State of Telangana.,PART XXI,"TEMPORARY, TRANSITIONAL AND   SPECIAL PROVISIONS"
465,371E,Establishment of Central University in Andhra Pradesh.,PART XXI,"TEMPORARY, TRANSITIONAL AND   SPECIAL PROVISIONS"
466,371F,Special provisions with respect to the State of Sikkim.,PART XXI,"TEMPORARY, TRANSITIONAL AND   SPECIAL PROVISIONS"
467,371G,Special provision with respect t o the State of Mizoram.,PART XXI,"TEMPORARY, TRANSITIONAL AND   SPECIAL PROVISIONS"
468,371H,Special provision with respect to the State of Arunachal Pradesh.,PART XXI,"TEMPORARY, TRANSITIONAL AND   SPECIAL PROVISIONS"
469,371J,Special provisions with respect to the State of  Karnataka.,PART XXI,"TEMPORARY, TRANSITIONAL AND   SPECIAL PROVISIONS"
470,372,Continuance in force of e xisting laws and their adaptation.,PART XXI,"TEMPORARY, TRANSITIONAL AND   SPECIAL PROVISIONS"
471,372A,Power of the President to adapt laws.,PART XXI,"TEMPORARY, TRANSITIONAL AND   SPECIAL PROVISIONS"
472,373,Power of President to make order in respect of persons under  preventive detention in certain cases.,PART XXI,"TEMPORARY, TRANSITIONAL AND   SPECIAL PROVISIONS"
473,374,Provisions as to Judges of the Federal Court and proceedings  pending in the Federal Court or before His Majesty in Council.,PART XXI,"TEMPORARY, TRANSITIONAL AND   SPECIAL PROVISIONS"
474,375,"Courts, authorities and officers to continue to function subject to  the provisions of the Constitution.",PART XXI,"TEMPORARY, TRANSITIONAL AND   SPECIAL PROVISIONS"
475,376,Provisions as to Judges of High Courts.,PART XXI,"TEMPORARY, TRANSITIONAL AND   SPECIAL PROVISIONS"
476,377,Provisions as to Comptroller and Auditor-General of India.,PART XXI,"TEMPORARY, TRANSITIONAL AND   SPECIAL PROVISIONS"
477,378,Provisions as to Public Service Commissions.,PART XXI,"TEMPORARY, TRANSITIONAL AND   SPECIAL PROVISIONS"
478,378A,Special provision as to duration of Andhra Pradesh Legislative  Assembly.  [,PART XXI,"TEMPORARY, TRANSITIONAL AND   SPECIAL PROVISIONS"
479,379,Provisions as to provisional Parliament and the Speaker and  Deputy Speaker thereof. Omitted.]   [,PART XXI,"TEMPORARY, TRANSITIONAL AND   SPECIAL PROVISIONS"
480,380,Provision as to President.  Omitted.]  [,PART XXI,"TEMPORARY, TRANSITIONAL AND   SPECIAL PROVISIONS"
481,381,Council of Ministers of the President. Omitted.]  [,PART XXI,"TEMPORARY, TRANSITIONAL AND   SPECIAL PROVISIONS"
482,382,Provisions as to provisional Legislatures for States in Part A of  the First Schedule. -- Omitted. ]  [,PART XXI,"TEMPORARY, TRANSITIONAL AND   SPECIAL PROVISIONS"
483,383,Provision as to Governors of Provinces. -- Omitted. ]  [,PART XXI,"TEMPORARY, TRANSITIONAL AND   SPECIAL PROVISIONS"
484,384,Council of Ministers of the Governors. Omitted.]  [,PART XXI,"TEMPORARY, TRANSITIONAL AND   SPECIAL PROVISIONS"
485,385,Provision as to provisional Legislatures in States in Part B of the  First Schedule. Omitted.]  [,PART XXI,"TEMPORARY, TRANSITIONAL AND   SPECIAL PROVISIONS"
486,386,Council of Ministers for  States in Part B of the First Schedule.  - - Omitted. ]  [,PART XXI,"TEMPORARY, TRANSITIONAL AND   SPECIAL PROVISIONS"
487,387,Special provision as to determination of population for the  purposes of certain elections. Omitted.]  [,PART XXI,"TEMPORARY, TRANSITIONAL AND   SPECIAL PROVISIONS"
488,388,Provisions as to the filling of casual vacancies in the  provisional  Parliament and  provisional Legislatures of the States.   Omitted.]  [,PART XXI,"TEMPORARY, TRANSITIONAL AND   SPECIAL PROVISIONS"
489,389,Provision as to Bills pending in the Dominion Legislatures and   in the Legislatures of Provinces and Indian States. Omitted.]  [,PART XXI,"TEMPORARY, TRANSITIONAL AND   SPECIAL PROVISIONS"
490,390,Money received or raised or expenditure incurred between the  commencement of the Constitution and the,PART XXI,"TEMPORARY, TRANSITIONAL AND   SPECIAL PROVISIONS"
491,1950,Omitted.],PART XXI,"TEMPORARY, TRANSITIONAL AND   SPECIAL PROVISIONS"
492,391,Power of the President to amend the First and Fourth Schedules  in certain contingencies. Omitted.],PART XXI,"TEMPORARY, TRANSITIONAL AND   SPECIAL PROVISIONS"
493,392,Power of the President to remove difficulties.,PART XXI,"TEMPORARY, TRANSITIONAL AND   SPECIAL PROVISIONS"
494,393,Short title.,PART XXII,"SHORT TITLE, COMMENCEMENT,  AUTHORITATIVE TEXT  IN HINDI AND REPEALS"
495,394,Commencement.,PART XXII,"SHORT TITLE, COMMENCEMENT,  AUTHORITATIVE TEXT  IN HINDI AND REPEALS"
496,394A,Authoritative text in the Hindi language.,PART XXII,"SHORT TITLE, COMMENCEMENT,  AUTHORITATIVE TEXT  IN HINDI AND REPEALS"
497,395,Repeals.,PART XXII,"SHORT TITLE, COMMENCEMENT,  AUTHORITATIVE TEXT  IN HINDI AND REPEALS"
